url,name,rank,img
,こどもパソコンIchigoJam,seiko,https://kani-robocon.com/image/sponsor_IchigoJam.png
,日興証券,seiko,https://kani-robocon.com/image/sponsor_smbc.png
https://www.fukuibank.co.jp/,福井銀行,kanikama,https://kani-robocon.com/image/sponsor_fukuiginkou.png
,サイト建設,kanikama,https://kani-robocon.com/image/sponsor_saito.png
,有限会社みらい,kanikama,https://kani-robocon.com/image/sponsor_mirai.png
,有限会社トップテクノ,kanikama,https://kani-robocon.com/image/sponsor_toptecno.png
https://www.hiss.co.jp/,北電情報システムサービス株式会社,kanikama,https://kani-robocon.com/image/sponsor_hiss.png
https://www.i-emori.co.jp/,株式会社江守情報,kanikama,https://kani-robocon.com/image/sponsor_emorijoho.png
https://www.daiden.co.jp/,大電産業株式会社,kanikama,https://kani-robocon.com/image/sponsor_daidensangyo.png
